"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Résidence O’Lord","d69e2974-c9f8-11ec-929d-0050569afc27","Lieu","Hébergement","Hébergement collectif","Paris","75008","75056","Paris","Île-de-France","48.873524","2.298923","https://www.olord.fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Ibis Styles Paris Tolbiac Bibliothèque de France","ad8053f2-cc22-2347-8836-501ba0714ddb","Lieu","Hébergement","Hôtellerie","Paris","75013","75056","Paris","Île-de-France","48.82895","2.374154","https://all.accor.com/hotel/7976/index.fr.shtml","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Cour des Vosges - Evok Collection","70bd41fe-fa29-11e9-84b4-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75004","75056","Paris","Île-de-France","48.856094","2.3646195","https://www.courdesvosges.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Aparthotel Adagio Paris Nation","7f6f099e-dbab-11ea-a253-0050569afc27","Lieu","Hébergement","Hébergement collectif","Paris","75012","75056","Paris","Île-de-France","48.84064","2.3977244","https://www.adagio-city.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.179Z"
"Mama Shelter Paris East","65a6dce4-a8f8-806b-be09-501ba0a61ef2","Lieu","Hébergement","Hôtellerie","Paris","75020","75056","Paris","Île-de-France","48.85974","2.4028893","https://www.mamashelter.com/fr/paris","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Ibis Styles Meteor","7f8709a6-e08b-11ea-a85c-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75013","75056","Paris","Île-de-France","48.817467","2.3595896","https://www.instagram.com/ibis.styles.meteor/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Le Grand Quartier","7034fa56-bf68-11ea-980c-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75010","75056","Paris","Île-de-France","48.87229","2.358592","https://www.legrandquartier.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Mama Shelter Paris West","8e50ce6e-9743-11e9-86f4-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75015","75056","Paris","Île-de-France","48.828705","2.292037","https://fr.mamashelter.com/paris-west/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Hôtel Dress Code","5fd8f7b6-0261-11eb-bf4a-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.87051","2.3279495","https://www.hoteldresscode.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"25hours Terminus Nord","bb67ac18-ec00-11e8-a341-0050569a22ea","Lieu","Hébergement","Hôtellerie","Paris","75010","75056","Paris","Île-de-France","48.879574","2.355135","https://www.25hours-hotels.com/en/hotels/paris/terminus-nord","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.177Z"
"Hôtel Mayet","d671bdf4-99dc-b388-bc41-501ba0ebe22d","Lieu","Hébergement","Hôtellerie","Paris","75006","75056","Paris","Île-de-France","48.847134","2.3185601","https://www.mayet.com/fr/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Best Western Aramis Saint-Germain","9fae83c5-56d0-f043-b57d-501b9f4b3424","Lieu","Hébergement","Hôtellerie","Paris","75006","75056","Paris","Île-de-France","48.846745","2.3264785","http://www.hotel-aramis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"Residhome Paris Rosa Parks","38ddc674-7398-11e7-89b8-0050569a22ea","Lieu","Hébergement","Hébergement collectif","Paris","75019","75056","Paris","Île-de-France","48.89532","2.3726025","https://www.myresidhome.com/paris/residhome-paris-rosa-parks/apparthotel-residence-hoteliere.html","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Hôtel des Deux Continents","607582e9-8b64-1408-6063-501ba04477be","Lieu","Hébergement","Hôtellerie","Paris","75006","75056","Paris","Île-de-France","48.855278","2.3344526","http://www.hoteldes2continents.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Le Mathurin Hôtel & Spa","5ad04dcf-aed1-f7c5-098d-58a4628e2104","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.87329","2.3239772","https://le-mathurin.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Novotel Paris Gare de Lyon","99af2906-288e-0182-8b1d-501b9f9afa35","Lieu","Hébergement","Hôtellerie","Paris","75012","75056","Paris","Île-de-France","48.845387","2.3755896","http://www.novotel.com/fr/hotel-1735-novotel-paris-gare-de-lyon/index.shtml","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Hôtel Korner Montparnasse","65b28e88-4125-226b-8ae5-501ba0fe425f","Lieu","Hébergement","Hôtellerie","Paris","75015","75056","Paris","Île-de-France","48.841244","2.313451","http://hotelkorner.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.178Z"
"Le Meurice","9875001c-58eb-1cc9-a02f-501b9f732dc6","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.86519","2.328083","https://www.dorchestercollection.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Hôtel Saint-Petersbourg Paris Opéra & Spa","66ff79ce-7f24-4aa7-58f1-501ba0160d0f","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.872143","2.328129","http://www.hotelsaintpetersbourg.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Hôtel de la Cité Rougemont","9efd889b-4628-813d-829e-501ba0f6b85b","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.871975","2.345253","http://www.hotel-paris-rougemont.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Hôtel Volney Opéra","ad68b0be-1410-23c1-5e82-501ba0962615","Lieu","Hébergement","Hôtellerie","Paris","75002","75056","Paris","Île-de-France","48.869926","2.330282","http://www.hotelvolney.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Park Hyatt Paris-Vendôme","226b4112-02fd-bbc4-0a6b-501b9f9d1089","Lieu","Hébergement","Hôtellerie","Paris","75002","75056","Paris","Île-de-France","48.86882","2.3305497","https://www.hyatt.com/fr-FR/hotel/france/park-hyatt-paris-vendome/parph","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Napoléon","c01e05b8-3919-c749-88da-501ba0a62a22","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.874275","2.2980316","https://www.hotelnapoleon.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
"Hôtel Trianon Rive Gauche","a4db66b9-e0d3-cf1b-20d1-501b9f4d483b","Lieu","Hébergement","Hôtellerie","Paris","75006","75056","Paris","Île-de-France","48.84746917","2.33998877","https://www.hoteltrianonrivegauche.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.175Z"
"Moxy Paris La Villette","1fd001a6-783b-829c-65ea-501b9fbff91d","Lieu","Hébergement","Hôtellerie","Paris","75019","75056","Paris","Île-de-France","48.896843","2.3852034","https://www.moxyhotels.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Meliá Paris Vendôme","9c45e0e1-4c5b-3591-4701-501ba0e39e29","Lieu","Hébergement","Hôtellerie","Paris","75001","75056","Paris","Île-de-France","48.86679","2.3258476","http://www.melia.com/fr/hotels/france/paris/melia-vendome/index.html","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Turenne le Marais","7524fef7-9f72-1747-a9a1-501ba04989fc","Lieu","Hébergement","Hôtellerie","Paris","75004","75056","Paris","Île-de-France","48.85507","2.363423","http://www.turennemarais.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
